id,domain,url,crawled_date,ten,gia_ban,xuat_xu,tinh_trang,dong_xe,so_km_da_di,mau_ngoai_that,mau_noi_that,so_cua,so_cho_ngoi,nhien_lieu,he_thong_nap_nhien_lieu,hop_so,dan_dong,tieu_thu_nhien_lieu,dung_tich_xi_lanh_
ded125d8-92c4-450c-b6b9-72423dd4e586,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4280313/",2022-06-26 16:25:04.460613,Xe Mazda 3 1.5L Luxury 2020,676 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,31445 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc)
bfe4eb89-b6c1-4787-a943-1f55c82644a1,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4248160/",2022-06-26 16:25:04.492612,Xe Mazda 2 Luxury 2019,505 Triệu,Nhập khẩu,Xe đã dùng,Sedan,36000 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc)
03b531a7-2bea-4a77-a04c-6b5ec82d0fed,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4434291/",2022-06-26 16:25:04.555614,Xe Toyota Vios 1.5E CVT 2018,446 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,52560 Km,Trắng,Kem,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc)
d58e62be-03e6-4b94-96fd-23e99f1a1ac8,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4428085/",2022-06-26 16:25:04.566613,Xe Honda Civic RS 1.5 AT 2019,735 Triệu,Nhập khẩu,Xe đã dùng,Sedan,28580 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1498 (cc)
bb35ab9b-7dc5-4969-8d21-0958e6767a47,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4223414/",2022-06-26 16:25:04.585614,Xe Kia Rondo DAT 2016,500 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,60465 Km,Trắng,Đen,5 cửa,7 chỗ,Diesel,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1685 (cc)
f3e696ca-1218-4faa-9731-53b4bf63850f,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4282199/",2022-06-26 16:25:04.619613,Xe Honda CRV 2.4 AT 2010,399 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,126920 Km,Đen,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,2354 (cc)
6d758383-d17f-437c-bceb-d2beb1bce1ed,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4404633/",2022-06-26 16:25:04.663126,Xe Honda CRV 2.4 AT 2014,638 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,126859 Km,Bạc,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,2354 (cc)
e7b790a7-60c0-4ae3-9d8d-fedd6cd6c67a,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4434085/",2022-06-26 16:25:04.694125,Xe Honda CRV 2.4 AT 2011,438 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,125986 Km,Xám,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,2354 (cc)
133664dd-3c88-401e-9387-929ef3178689,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4334160/",2022-06-26 16:25:04.725127,Xe Toyota Corolla altis 2.0V Sport 2018,668 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,38227 Km,Nâu,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1987 (cc)
6a6c13d5-b983-4188-be88-7bf02870136c,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4404733/",2022-06-26 16:25:04.757126,Xe Kia Morning Van 1.0 AT 2015,265 Triệu,Nhập khẩu,Xe đã dùng,Van/Minivan,47256 Km,Bạc,Xám,5 cửa,2 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,998 (cc)
