id,domain,url,crawled_date,ten,gia_ban,nam_san_xuat,xuat_xu,tinh_trang,dong_xe,so_km_da_di,mau_ngoai_that,mau_noi_that,so_cua,so_cho_ngoi,nhien_lieu,he_thong_nap_nhien_lieu,hop_so,dan_dong,tieu_thu_nhien_lieu,dung_tich_xi_lanh,thong_tin_mo_ta
b2bd5843-4efa-47e1-b600-aae4c38af8f7,bonbanh.com,https://bonbanh.com/xe-mercedes_benz-e_class-e200-2017-4411928,1656780785.689943,xe mercedes benz e class e200,1539000000.0,2017,trong nước,cũ,sedan,"39,000 km",đen,nâu,4 cửa,5 chỗ,xăng,, tự động,rfd,7 l/100km,2.0 l,Mercedes E200 siêu lướt 
96a8079d-535c-4f9b-9efa-164129bbdb0a,bonbanh.com,https://bonbanh.com/xe-toyota-veloz-cross-1.5-cvt-2022-4394741,1656780785.786613,xe toyota veloz cross 1.5 cvt,648000000.0,2022,nhập khẩu,mới,suv,0 km,bạc,đen,5 cửa,7 chỗ,xăng,phun xăng điện tử, tự động,fwd,6 l/100km,1.5 l,"Toyota Veloz 7 chỗ hoàn toàn mới, nhập khẩu, trang bị nhiều tính năng tiện nghi, tiêu chuẩn an toàn 5 sao."
a8fb92a8-ecfe-4103-828b-5907c14b4628,bonbanh.com,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x4-at-2022-4050479,1656780786.026858,xe ford everest titanium 2.0l 4x4,1315000000.0,2022,nhập khẩu,mới,suv,0 km,đen,ghi,5 cửa,7 chỗ,dầu,, tự động,4wd,7 l/100km,2.0 l,"Everest Titanium 4x4 nhập khẩu nguyên chiếc trang bị động cơ dầu 213 mã lực, hệ thống an toàn 7 túi khí, phanh ABS, chống lật Rum, kiểm soát góc cua, ghế da cao cấp , màn hình 8 inch, phanh khẩn cấp, cảm biến quanh xe...."
ac7813b9-e248-4a01-ad69-417bac3e7204,bonbanh.com,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2022-4180461,1656780786.045604,xe ford ranger raptor 2.0l 4x4,1202000000.0,2022,nhập khẩu,mới,bán tải / pickup,0 km,xanh,ghi,4 cửa,5 chỗ,dầu,, tự động,4wd,7 l/100km,2.0 l,"Ranger RAPTOR 2022 mạnh mẽ, tiết kiệm, an toàn và đậm chất cá tính."
08b817f8-72a8-4322-b150-267c68a5aac3,bonbanh.com,https://bonbanh.com/xe-toyota-corolla_altis-1.8v-2022-4284591,1656780786.062049,xe toyota corolla altis 1.8v,745000000.0,2022,nhập khẩu,mới,sedan,0 km,đen,kem,4 cửa,5 chỗ,xăng,phun nhiên liệu trực tiếp sử dụng đường ống dẫn ch, tự động,fwd,5 l/100km,1.8 l,"Toyota Altis 2022 all new, nhập khẩu nguyên chiếc, giá tốt, sẵn xe giao ngay. Xe được nâng cấp, trang bị nhiều cộng nghệ hiện đại:"
80716f98-16f7-44d7-b134-0b79d15fbe95,bonbanh.com,https://bonbanh.com/xe-toyota-avanza-premio-1.5-mt-2022-4321001,1656780786.124635,xe toyota avanza premio 1.5 mt,528000000.0,2022,nhập khẩu,mới,suv,0 km,trắng,đen,5 cửa,7 chỗ,xăng,phun xăng điện tử, tay,rfd,5 l/100km,1.5 l,Toyota Avanza Premio với thiết kế mới năng động trẻ trung.Kính cửa sau liền mạch với đuôi xe khá giống các dòng xe sang Lexus.
81ea6df5-8a39-47ee-abc8-83b4e073301a,bonbanh.com,https://bonbanh.com/xe-mercedes_benz-v_class-v220d-cdi-2016-4339176,1656780786.156287,xe mercedes benz v class v220d cdi,1550000000.0,2016,nhập khẩu,cũ,van/minivan,"69,000 km",trắng,đen,5 cửa,7 chỗ,dầu,dầu , tự động,rfd,6 l/100km,2.1 l,Lỡ rồi mua luôn về bán cho anh em cần xe gia đình
526b9ca2-6b8c-4196-a710-f998079d924b,bonbanh.com,https://bonbanh.com/xe-kia-carens-sx-2.0-at-2010-4412261,1656780786.223396,xe kia carens sx 2.0,282000000.0,2010,trong nước,cũ,crossover,"135,000 km",bạc,đen,5 cửa,7 chỗ,xăng,, tự động,fwd,9 l/100km,2.0 l,"Tôi bán chiếc Suv 7 chỗ Kia Carens SX 2.0AT, đời 2010, số tự động. Tư nhân, biển Hà Nội"
0d3228a6-99c6-41d7-8338-1441fb8b78f0,bonbanh.com,https://bonbanh.com/xe-suzuki-xl7-1.5-at-2022-4304472,1656780786.242889,xe suzuki xl7 1.5,550000000.0,2022,nhập khẩu,mới,suv,0 km,trắng,đen,5 cửa,7 chỗ,xăng,phun xăng điện tử, tự động,fwd,5 l/100km,1.5 l,Suzuki XL7 SUV 7 chỗ hoàn toàn mới.
2f4aed01-ce5b-464e-8cd3-426bafe19026,bonbanh.com,https://bonbanh.com/xe-toyota-veloz-cross-top-1.5-cvt-2022-4291195,1656780786.302755,xe toyota veloz cross top 1.5 cvt,688000000.0,2022,nhập khẩu,mới,suv,0 km,trắng,đen,5 cửa,7 chỗ,xăng,phun xăng điện tử, tự động,fwd,6 l/100km,1.5 l,"Toyota Veloz 7 chỗ hoàn toàn mới, nhập khẩu, trang bị nhiều tính năng tiện nghi, tiêu chuẩn an toàn 5 sao."
80740e77-db04-487d-b277-52d19029195a,bonbanh.com,https://bonbanh.com/xe-lexus-nx-300-2017-4398713,1656780786.321598,xe lexus nx 300,1980000000.0,2017,nhập khẩu,cũ,suv,"68,000 km",trắng,đỏ,5 cửa,5 chỗ,xăng,, tự động,awd,l/100km,2.0 l,Lexus Nx300 Model 2018 
192fad13-9fa6-491f-9d35-9979f3221c6a,bonbanh.com,https://bonbanh.com/xe-mercedes_benz-gl--500-4matic-2013-4339739,1656780786.336436,xe mercedes benz gl 500 4matic,1990000000.0,2013,nhập khẩu,cũ,suv,"60,000 km",nâu,kem,5 cửa,7 chỗ,xăng,, tự động,awd,l/100km,4.7 l,"Biển thành phố, 1 chủ từ đầu, nội ngoại thất giữ gìn, full lịch sử bảo dưỡng ."
1fe1ff92-e62c-497e-980a-43ceffb1bf08,bonbanh.com,https://bonbanh.com/xe-lexus-lx-570-2009-4333262,1656780786.424892,xe lexus lx 570,2350000000.0,2009,nhập khẩu,cũ,suv,"85,000 km",trắng,kem,5 cửa,7 chỗ,xăng,, tự động,awd,l/100km,5.7 l,Lexus Lx 570 Sản xuất 2009 Độ from 2015
