id,url,crawled_date,domain,ten,gia,xuat_xu,tinh_trang,dong_xe,so_cho_ngoi,nhien_lieu,hop_so
260c729f-23b9-4742-8cdd-febd195b959f,https://xe.chotot.com/mua-ban-oto-quan-hoang-mai-ha-noi/96325919.htm,2022-06-27 10:09:25.872154,xe.chotot.com,KIA MORNING VAN 2013 full đồ chơi số tự động,215.000.000,,Đã sử dụng,Morning,,Xăng,Tự động
57b1f05f-1f3f-4782-98f0-314f21dff019,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/93776067.htm,2022-06-27 10:09:26.024924,xe.chotot.com,Altis 1.8 tự động chính chủ,316.000.000,Việt Nam,Đã sử dụng,Corolla Altis,5,Xăng,Tự động
df7aca5b-116b-4772-9b68-d7df54864361,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/96374706.htm,2022-06-27 10:09:26.030922,xe.chotot.com,BÁN MAZDA 6 ĐỜI 219 ĐI 30.000KM BS BÌNH DƯƠNG,773.000.000,,Đã sử dụng,6,,Xăng,Tự động
4fc5eff8-1bc0-46c3-8b74-169e99d2d897,https://xe.chotot.com/mua-ban-oto-quan-hai-chau-da-nang/96242370.htm,2022-06-27 10:09:26.035919,xe.chotot.com,♥️ Honda Jazz . RS ♥️ đăng kí 2020,499.000.000,Thái Lan,Đã sử dụng,Jazz,5,Xăng,Tự động
d823f3c5-f5b7-4844-b16d-c8b88e3704f9,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/96110491.htm,2022-06-27 10:09:26.042922,xe.chotot.com,mercedes benz GLK 280,365.000.000,Đức,Đã sử dụng,GLK Class,5,Xăng,Tự động
c0eb8141-cba3-415e-82a7-da4c94465738,https://xe.chotot.com/mua-ban-oto-huyen-thanh-tri-ha-noi/93488620.htm,2022-06-27 10:09:26.050920,xe.chotot.com,Isuzu D max 2022  bán tải Isuzu Dmax Số Tự Động,660.000.000,Thái Lan,Đã sử dụng,Dmax,,Dầu,Tự động
2d03e59c-3afc-465f-b0bd-486d780d6ad0,https://xe.chotot.com/mua-ban-oto-huyen-hoc-mon-tp-ho-chi-minh/92782515.htm,2022-06-27 10:09:26.064922,xe.chotot.com,mitsubishi joilie cuối 2004 xe nhà sử dụng,156.000.000,,Đã sử dụng,Jolie,7,Xăng,Số sàn
1f175847-2e07-4975-8583-90a3f06115ed,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/96374683.htm,2022-06-27 10:09:26.092922,xe.chotot.com,Ford Everest sport 2.0 4x2 2021,1.120.000.000,Thái Lan,Đã sử dụng,Everest,,Xăng,Tự động
0021e542-0eca-4f2b-bac4-77f113e98c1e,https://xe.chotot.com/mua-ban-oto-quan-ba-dinh-ha-noi/96352644.htm,2022-06-27 10:09:26.103921,xe.chotot.com,ford escape số tự động máy 2.3 hai cầu xe như mới,172.000.000,Việt Nam,Đã sử dụng,Escape,5,Xăng,Tự động
7e89b987-ac5b-4771-a52c-d72a342d78fa,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/94104610.htm,2022-06-27 10:09:26.211919,xe.chotot.com,Ford Ranger Mẫu Mới - Nhận Cọc Ngay Hôm Nay,648.000.000,Việt Nam,Đã sử dụng,Ranger,5,Dầu,Tự động
409acdaa-13b0-4fa6-a7c4-b47501da5dc3,https://xe.chotot.com/mua-ban-oto-quan-go-vap-tp-ho-chi-minh/95947128.htm,2022-06-27 10:09:26.217920,xe.chotot.com,"Innova tự động, sản xuất 2016, biển số TP",470.000.000,,Đã sử dụng,Innova,8,Xăng,Tự động
1b3b4979-afea-4898-be0d-c70faf2851e5,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/88912174.htm,2022-06-27 10:09:26.224919,xe.chotot.com,MAZDA 3 SEDAN - SẴN XE GIAO - HỖ TRỢ TRẢ GÓP 85%,679.000.000,Việt Nam,Mới,3,5,Xăng,Tự động
cc41fe2e-47d3-4466-ab47-59e403a749e9,https://xe.chotot.com/mua-ban-oto-quan-ha-dong-ha-noi/96025795.htm,2022-06-27 10:09:26.231920,xe.chotot.com,"Ranger XLS 2.2AT 2015, mới về, xe chất",495.000.000,Thái Lan,Đã sử dụng,Ranger,5,Dầu,Tự động
e3cf6556-c541-4042-b245-f42ace2c6af5,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/96249264.htm,2022-06-27 10:09:26.237921,xe.chotot.com,FORD RANGER XLS AT 2017. ĐI ÍT. HỖ TRỢ GÓP,620.000.000,Thái Lan,Đã sử dụng,Ranger,5,Dầu,Tự động
106015b1-c6c0-4fbb-87b2-6026976357d7,https://xe.chotot.com/mua-ban-oto-quan-hai-chau-da-nang/96188705.htm,2022-06-27 10:09:26.244919,xe.chotot.com,[TIN SOCK] FADIL SẴN XE GIAO NGAY - GIÁ CẠNH TRANH,352.500.000,,Mới,Fadil,,Xăng,Tự động
45d9c8f4-fd63-4e82-bbab-cbdf69db33e2,https://xe.chotot.com/mua-ban-oto-quan-ngu-hanh-son-da-nang/96273954.htm,2022-06-27 10:09:26.317921,xe.chotot.com,Cần bán suzuki swift 1.4 AT nhập Nhật,350.000.000,Nhật Bản,Đã sử dụng,Swift,5,Xăng,Tự động
5065d14c-7d14-410e-84e3-6706ce593783,https://xe.chotot.com/mua-ban-oto-quan-8-tp-ho-chi-minh/92679312.htm,2022-06-27 10:09:26.523121,xe.chotot.com,Audi A3 màu trắng S-Line Model 2016,699.000.000,Đức,Đã sử dụng,A3,5,Xăng,Tự động
30695d8a-a101-4898-be2a-dd24ac81739c,https://xe.chotot.com/mua-ban-oto-quan-1-tp-ho-chi-minh/95354332.htm,2022-06-27 10:09:26.689116,xe.chotot.com,XUẤT VAT EVEREST TITANIUM 2019 BH CHÍNH HÃNG 1 NĂM,1.089.000.000,Thái Lan,Đã sử dụng,Everest,7,Dầu,Tự động
0fc7add3-1573-473e-aec5-63161efa73fa,https://xe.chotot.com/mua-ban-oto-quan-8-tp-ho-chi-minh/96252251.htm,2022-06-27 10:09:26.754113,xe.chotot.com,RANGER WILDTRAK 2 CẦU 3.2 2017 BH CHÍNH HÃNG 1 NĂM,859.000.000,Thái Lan,Đã sử dụng,Ranger,5,Dầu,Tự động
