id,domain,url,crawled_date,ten,gia_ban,gia_lan_banh,nam_san_xuat,kieu_dang,tinh_trang,xuat_xu,tinh_thanh,quan_huyen,hop_so,nhien_lieu,mo_ta
78d756af-dc1c-403f-a86f-38b941eb4170,oto.com.vn,https://oto.com.vn/mua-ban-xe-honda-cr-v-hcm/uu-dai-khung-du-mau-giao-ngay-sg-aidxm22539713,1656780743.882158,honda cr v 1.5 g,1048000000.0,1175000000.0,2022,suv,mới,nhập khẩu,thành phố hồ chí minh,tân bình, tự động,xăng,1/Honda CRV với 3 phiên bản G - L - LSE khuyến mãi hấp dẫn - đủ màu - giao ngay.   2/Chỉ từ 158 triệu nhận xe ngay (liên hệ để tính phí ra biển số từng địa phương).   3/Cập nhật báo giá: (liên hệ nhận ưu đãi). ✔CRV G: 1 tỷ 048 triệu. ✔CRV L: 1 tỷ 118 triệu. ✔CRV LSE: 1 tỷ 038 triệu.   4/Nhận đặt xe & tư vấn khuyến mãi (liên hệ nhận ưu đãi): ✔Ưu đãi tiền mặt. ✔Hỗ trợ bảo hiểm vật chất xe. ✔Tặng gói phụ kiện nâng cấp.   5/Vay vốn linh hoạt: ✔Tỷ lệ vay đến 80 - 90% tổng giá trị xe. ✔Tối đa 96 tháng. ✔Hỗ trợ hồ sơ thủ tục nhanh chóng. Liên hệ ngay để được Ưu đãi tốt nhất từng thời điểm.
c26c22c2-9a1c-4c67-9412-98e970a14706,oto.com.vn,https://oto.com.vn/mua-ban-xe-vinfast-lux-a20-ha-noi/cuc-hot-ap-dung-3-voucher-chi-99-trieu-nhan-xe-ngay-uu-dai-khung-thang-7-toi-600tr-giam-tien-truc-tiep-du-mau-du-phien-ban-aidxm22510015,1656780744.016638,vinfast lux a2.0 tiêu chuẩn,881000000.0,1009000000.0,2022,sedan,mới,trong nước,hà nội,nam từ liêm, tự động,xăng,"Vinfast Lux A2.0 Turbo 2022 - Ưu đãi lên đến 600tr. - Lăn bánh tỉnh chỉ từ 6xx triệu. - Ưu đãi 100% lệ phí trước bạ. - Giảm 10 % giá xe khi trả thẳng. - Áp dụng cùng lúc 3 voucher Vinhomes. - Bảo hành 10 năm, cứu hộ miễn phí 24/7, gửi xe miễn phí 6h tại TTTM Vincom. - Hỗ trợ thủ tục trả góp, bao nợ xấu. - Hỗ trợ ký hợp đồng, giao xe tận nhà.   Giá bán lẻ Lux A2.0 chỉ từ: 881.000.000 VNĐ. Vinfast Thăng Long - Liên hệ: Mr. Cường. Điện thoại/Zalo: 0984392101."
ff7d0e89-9990-4b3d-a04e-ed538c794a36,oto.com.vn,https://oto.com.vn/mua-ban-xe-toyota-corolla-cross-ha-noi/san-xe-giao-ngay-gia-tot-tang-bo-phu-kien-chinh-hang-bao-ho-so-kho-aidxm22542498,1656780744.077839,toyota corolla cross 1.8 g,746000000.0,857900000.0,2022,suv,mới,nhập khẩu,hà nội,cầu giấy, tự động,xăng,"Đủ màu sẵn xe giao ngay. - Nhận xe đi ngay từ 150.000.000 đồng. - Bảo hành 5 năm, miễn phí cứu hộ 24/7. - Tặng bộ phụ kiện chính hãng. Đặc biệt: Chương trình đặt hàng trước cho khách hàng đặt xe trong tháng 07/2022: Tặng phiếu bảo dưỡng 1 năm hoặc 20.000 km(Tùy theo điều kiện nào đến trước).   Khi quý khách hàng làm việc với em Sơn 0936647638 (call/ zalo) quý khách còn được hưởng thêm các quyền lợi sau: - Đăng kí đăng kiểm thuận tiện, tránh biển xấu, lựa chọn màu xe theo mệnh. - Hỗ trợ trả góp từ 85 - 90% giá trị xe. - Hỗ trợ chứng minh thu nhập, xử lí hồ sơ xấu nhanh gọn. - Hỗ trợ thu cũ đổi mới giá tốt. - Tư vấn tận tâm - chuyên nghiệp. - Hỗ trợ giao xe tận nhà. - Dịch vụ hậu mãi chu đáo. - Khuyến mãi tốt nhất khu vực.   Bảng giá xe Toyota Corolla Cross 2022 mới nhất: 1. Corolla Cross 1.8 Hybird: 936.000.000₫. 2. Corolla Cross 1.8 V: 846.000.000₫. 3. Corolla Cross 1.8 G: 746.000.000₫. Màu Trắng ngọc trai: +8.000.000₫. Số lượng có hạn - Giao xe ngay đủ màu chỉ có tại đại lý chính hãng Toyota Thăng Long. Tư vấn bán hàng Mr Sơn: 0936647638. Toyota Thăng Long hân hạnh hỗ trợ quý khách hàng. Địa chỉ: 316 Đ. Cầu Giấy, Dịch Vọng, Cầu Giấy, Hà Nội."
38f97f7e-e142-40ae-a376-87afbca6587f,oto.com.vn,https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-hcm/qua-tang-hap-dan-mua-trung-ngay-ho-tro-vay-85-lai-suat-0-bao-ho-so-xau-aidxm22519507,1656780744.164782,mitsubishi xpander at premium,648000000.0,735600000.0,2022,mpv,mới,nhập khẩu,thành phố hồ chí minh,thủ đức, tự động,xăng,"Mua bán Mitsubishi Xpander 2022. Bán Mitsubishi Xpander 2022 Tại TP. HCM. New Xpander 2022 - Mua xe Xpander trúng Xpander chỉ có tại Mitsubishi Isamco Bình Triệu.   Ưu đãi ngập tràn - Quà tặng siêu đỉnh: Bốc thăm trúng ngay 1 giải đặc biệt. - 1 xe Xpander AT Premium. - 1 chuyến du lịch Châu Âu cho 2 người. - 1 chuyến du lịch Côn Đảo cho 2 người. Qùa tặng đặc biệt khi làm việc trục tiếp với em Linh 0944145599 (Call/zalo): - Camera hành trình(trị giá 5 triệu đồng). - Camera 360 độ. - Tặng phiếu nhiên liệu trị giá 20 triệu đồng. Note: Quà tặng số lượng có hạn, tùy phiên bản. - Lãi suất 0% cho năm đầu tiên. - Hỗ trợ tối đa 85%. Thời gian tối đa 8 năm.   Chính sách giá Tháng 6/2022 cho các phiên bản. Xpander MT: 555.000.000 vnđ. Xpander AT ECO: 588.000.000 vnđ. Xpander AT Premium: 648.000.000 vnđ. Gọi ngay cho em Linh 0944145599/ 0911553838 (Call/zalo) để được hỗ trợ thông tin và nhận xe sớm nhất. Hân hạnh phục vụ quý khách hàng!"
dbfda1f5-7a84-4283-bcac-9af6096e0db0,oto.com.vn,https://oto.com.vn/mua-ban-xe-toyota-corolla-cross-ha-noi/du-mau-trong-thang-nhieu-uu-dai-voi-goi-phu-kien-cao-cap-va-1-nam-bhvc-aidxm22533308,1656780744.216805,toyota corolla cross 1.8 g,746000000.0,857900000.0,2022,suv,mới,nhập khẩu,hà nội,, tự động,xăng,"Toyota Corolla Cross 2022.   Bán xe Toyota Chuẩn giá - Cam kết Thời gian giao xe-Luôn có hỗ trợ đặc biệt cho khách hàng gọi điện - Tối ưu hóa tài chính khi mua xe.   Toyota Cross-Mẫu xe bán chạy nhất Việt Nam dù giá lên tới cả tỷ đồng bởi vì: - Công nghệ an toàn BSM, RCTA cảnh báo điểm mù, cảm biến quanh xe. - Thiết kế bắt mắt, không gian rộng rãi, phụ kiện được trang bị tỉ mỉ. - Động cơ làm nên thương hiệu của Toyota Corolla: 1.8 VVTI. - Tiện ích đầy đủ với một mẫu xe hiện đại: Đèn auto, điều hòa auto, cửa gió điều hòa sau. - Khung gầm thế hệ mới TNGA mang lại sự chắc chắn và an toàn rất cao.   Màu xe đang phân phối: Trắng - Đỏ - Đen - Xám cùng nội thất tùy chọn: Nâu đỏ và đen. Xem xe: Hà Nội. Gọi ngay để đặt xe! Gói phụ kiện và bảo hiểm kèm theo xe. - Thảm sàn. - Dán phim cách nhiệt. - Camera hành trình. - Phủ gầm cao cấp. - Bảo hiểm vật chất 1 năm.   Đóng thuế trước bạ, đăng ký, đăng kiểm và giao xe tại nhà!   Liên hệ trực tiếp: Vũ LC-Toyota Hà Đông- Đại diện Kinh doanh."
dd4082e4-44e1-467e-8645-4648c8f35f66,oto.com.vn,https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-ha-noi/cai-tien-dac-biet-gia-khong-doi-qua-tang-gia-tri-ho-tro-tra-gop-85-lai-suat-0-aidxm22519558,1656780744.263992,mitsubishi xpander at premium,648000000.0,748500000.0,2022,mpv,mới,nhập khẩu,hà nội,hà đông, tự động,xăng,"Mua bán Mitsubishi Xpander 2022. Bán Mitsubishi Xpander 2022 Tại Hà Nội. New Xpander 2022. Ưu đãi ngập tràn - Quà tặng siêu đỉnh:   Qùa tặng đặc biệt khi làm việc trục tiếp với em Hân 0962593358 (Call/zalo): - Camera hành trình (trị giá 5 triệu đồng). - Tặng phiếu nhiên liệu trị giá 20 triệu đồng. Note: Quà tặng số lượng có hạn, tùy phiên bản. - Lãi suất 0% cho năm đầu tiên. - Hỗ trợ tối đa 85%. Thời gian tối đa 8 năm. Chính sách giá tháng 6/2022 cho các phiên bản. Xpander MT: 555.000.000 vnđ. Xpander AT Eco: 588.000.000 vnđ. Xpander AT Premium: 648.000.000 vnđ.   Liên hệ em Hân 0962593358(call/zalo) để được hỗ trợ thông tin và giá tốt nhất Miền Bắc."
2ab09218-8102-4e59-a835-ae2b6a28dc22,oto.com.vn,https://oto.com.vn/mua-ban-xe-ford-everest-ha-noi/san-xe-gia-tot-uu-dai-den-100-trieu-tien-mat-tang-goi-pk-chinh-hang-tra-gop-80-gia-xe-ho-tro-lan-banh-aidxm22518004,1656780744.357323,ford everest titanium 2.0l at 4wd,1309000000.0,1489000000.0,2022,suv,mới,nhập khẩu,hà nội,, tự động,diesel,"Mua bán Ford Everest 2022 ở Hà Nội.   Mua Ford Everest Titanium 4x4AT 2022  .  Chính sách bán hàng Ford Everest tháng 6/2022. Everest Titanium 2.0L 4x4AT- Turbo kép (Giá tốt LH Hotline). Everest Titanium 2.0L 4x2AT-Turbo kép (Giá tốt LH Hotline).   Giá xe Ưu đãi tốt nhất phụ thuộc thời điểm khách hàng đặt xe ngay giữ giá hoặc cần lấy xe giao ngay. Hãy gọi ngay: 0969016692 - Để TVBH tư vấn hỗ trợ báo giá tốt nhất. Hỗ trợ vay đến 80% giá xe; Lãi suất hấp dẫn, thời hạn tối đa 8 năm. Chỉ cần hộ khẩu và CMND. Không cần chứng minh thu nhập. (3 ngày nhận xe ngay). Hỗ trợ đăng ký, đăng kiểm, giao xe tận nhà. Thủ tục đơn giản, nhanh gọn, tiết kiệm thời gian cho quý khách. Cam kết khách hàng sẽ nhận được quyền lợi tối đa nhất.   Quý khách có kế hoạch lấy xe vui lòng đặt sớm để lấy xe tháng 6. Hỗ trợ khách hàng đặt lấy xe trong thời gian này. - Bảo hành bảo dưỡng 3 năm/100.000km. - Có xe lái thử trải nghiệm miễn phí tại đại lý. - Sẵn xe, đủ màu giao ngay. Số lượng có hạn. - Chính sách giá bán hợp lý nhất cho quý khách đặt xe sớm. - Tặng gói phụ kiện, gói bảo hiểm hấp dẫn dành cho khách mua Ford Everest ở Hà Nội. (tùy thời điểm). Lưu ý: Số lượng xe về đại lý ít nên quý khách hàng có nhu cầu vui lòng liên hệ đặt xe sớm. Để được giao xe đúng ngày. Mr Hiếu _Đại lý Ford chính hãng. Hotline 0969016692. Showroom: 168 Phạm Văn Đồng, Bắc Từ Liêm, Hà Nội. Quý khách vui lòng, chúng tôi hạnh phúc! Trân trọng cảm ơn quý khách hàng đã xem tin và rất hân hạnh được phục vụ!"
03d72f60-daa8-4d90-ba50-ab8f484b6ed9,oto.com.vn,https://oto.com.vn/mua-ban-xe-toyota-corolla-cross-ha-noi/chao-he-uu-dai-thang-6-giao-xe-ngay-ho-tro-85-gia-tri-xe-aidxm22518352,1656780744.411073,toyota corolla cross 1.8 g,746000000.0,857900000.0,2022,suv,mới,nhập khẩu,hà nội,thanh xuân, tự động,xăng,"Toyota Corolla Cross 2022. Đủ màu giao ngay. 1. Corolla Cross 1.8 Hybird: 936.000.000₫. 2. Corolla Cross 1.8 V: 846.000.000₫. 3. Corolla Cross 1.8 G: 746.000.000₫. Màu Trắng ngọc trai: +8.000.000₫.   Chú ý lớn nhất: Do yêu cầu của Toyota chúng tôi không được phép đăng chương trình khuyến mại chi tiết, vì vậy quý khách hàng vui lòng để lại SĐT cho chúng tôi. Toyota Thanh Xuân sẽ liên hệ lại ngay quý khách hàng, để tư vấn và gửi tới quý khách giá bán tốt nhất kèm các chương trình quà tặng hấp dẫn. Hỗ trợ trả góp lên đến 85% (Hỗ trợ nợ xấu). (Cam kết bao duyệt hỗ trợ hồ sơ khó và nợ xấu). Toyota Thanh Xuân - 315 Trường Chinh. Phone: 0988502925. 315 Trường Chinh - Thanh Xuân - Hà Nội."
a8f52557-a988-41f1-8368-8b5994d080c2,oto.com.vn,https://oto.com.vn/mua-ban-xe-ford-ranger-ha-noi/san-mau-tra-truoc-hon-200-trieu-nhan-xe-tang-goi-phu-kien-ho-tro-thu-tuc-lan-banh-giao-xe-toan-quoc-aidxm22515566,1656780744.49693,ford ranger wildtrak 2.0l 4x4,917000000.0,986100000.0,2022,pick-up truck,mới,nhập khẩu,hà nội,bắc từ liêm, tự động,diesel,"Mua Ford Ranger Wildtrak 2022 .  Mua Ford Ranger ở Hà Nội. Chính sách giá bán Ford Ranger Wildtrak tháng 6/ 2022. Ranger Wildtrak 2.0L 4x4AT – Turbo kép (Bi Turbo): 937 triệu. Màu xe: Cam, trắng, đen, xám. - Giá bán xe ưu đãi tốt nhất phụ thuộc thời điểm khách hàng đặt xe giữ giá, giữ xuất giao trước hoặc lấy xe giao ngay. - Hỗ trợ vay đến 80% giá xe; Lãi suất hấp dẫn, thời hạn tối đa 8 năm. Chỉ cần hộ khẩu và CMND. Không cần chứng minh thu nhập. (3 ngày nhận xe ngay). - Hỗ trợ đăng ký, đăng kiểm, giao xe tận nhà. - Thủ tục đơn giản, nhanh gọn, tiết kiệm thời gian cho quý khách. - Cam kết khách hàng sẽ nhận được quyền lợi tối đa nhất. Quý khách có kế hoạch lấy xe vui lòng đặt sớm để lấy xe tháng 6. Hãy gọi ngay: 0969016692 - Để TVBH tư vấn hỗ trợ báo giá tốt nhất. Hỗ trợ khách hàng đặt lấy xe trong thời gian này. - Bảo hành bảo dưỡng 3 năm/100.000km. - Có xe lái thử trải nghiệm miễn phí tại đại lý. - Sẵn xe, đủ màu giao ngay. Số lượng có hạn. - Chính sách giá bán hợp lý nhất cho quý khách đặt xe sớm. - Tặng gói phụ kiện, gói bảo hiểm hấp dẫn dành cho khách mua Ford Ranger ở Hà Nội. (tùy thời điểm). Lưu ý: Số lượng xe về đại lý ít nên quý khách hàng có nhu cầu vui lòng liên hệ đặt xe sớm. Để được giao xe đúng ngày. Mr Hiếu - Đại lý Ford chính hãng. Hotline 0969016692. Showroom: 168 Phạm Văn Đồng, Bắc Từ Liêm, Hà Nội. Quý khách vui lòng, chúng tôi hạnh phúc!"
2b0b747d-921f-489a-9307-5225b37d8003,oto.com.vn,https://oto.com.vn/mua-ban-xe-toyota-corolla-cross-ha-noi/gia-tot-nhat-ho-tro-85-giao-xe-ngay-tang-kem-qua-tang-dac-biet-aidxm22391630,1656780744.594038,toyota corolla cross 1.8 g,746000000.0,857900000.0,2022,suv,mới,nhập khẩu,hà nội,, tự động,xăng,"Toyota Corolla Cross giá tốt nhất Hà Nội - Hỗ trợ 85%, giao xe ngay các phiên bản, tặng kèm quà tặng đặc biệt. Giá xe Toyota Cross 2022. - Toyota Cross G 2021: 746.000.000 VNĐ. - Toyota Cross V 2021: 846.000.000 VNĐ. - Toyota Cross HV 2021: 936.000.000 VNĐ. Ưu đãi dành tặng quý khách mua xe trong tháng này: - Vay 85 % giá trị xe. - Thời gian vay: 7 - 8 năm. - Lãi suất: 0,4 - 0,7%. - Hồ sơ vay đơn giản, không chứng minh thu nhập. Xử lí nhanh hồ sơ xấu. - Thời gian làm thủ tục: 2 - 3 ngày là nhận xe. - Giao xe tận nhà, hỗ trợ lái thử miễn phí. Và còn rất nhiều phần quà khủng dành tặng quý khách kí xe tháng 6 chỉ có tại Toyota Hà Đông. Hotline: 0896696862."
