dong_xe,gia,hop_so,kieu_dang,km_da_di,mau_xe,nhien_lieu,so_cho_ngoi,so_cua,tinh_trang,xuat_xu
SUV,Xe	Volvo XC40	T5 AWD R-Design	2019	- 1 Tỷ 626 Triệu,Số tự động,,"19,000 Km",Xám,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Van/Minivan,Xe	Suzuki Super Carry Van	Blind Van	2022	- 263 Triệu,Số tay,,0 Km,Trắng,Xăng	1.0 L,2 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Hyundai Elantra	1.8 AT	2014	- 399 Triệu,Số tự động,,"6,000 Km",Bạc,Xăng	1.8 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Crossover,Xe	Hyundai Tucson	LX 2.0 eVGT	2010	- 535 Triệu,Số tự động,,"7,000 Km",Đen,Dầu	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Honda CRV	L	2018	- 889 Triệu,Số tự động,,"39,000 Km",Xám,Xăng	1.5 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Suzuki XL7	1.5 AT	2022	- 589 Triệu,Số tự động,,0 Km,Cam,Xăng	1.5 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	XLS 2.2L 4x2 AT	2020	- 682 Triệu,Số tự động,,100 Km,Vàng,Dầu	2.2 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Suzuki Ertiga	GL 1.5 MT	2022	- 485 Triệu,Số tay,,0 Km,Đỏ,Xăng	1.5 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Mercedes Benz GLC	200 4Matic	2020	- 1 Tỷ 980 Triệu,Số tự động,,"6,000 Km",Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz E class	E300 AMG	2022	- 2 Tỷ 950 Triệu,Số tự động,,0 Km,Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Mazda 3	S 1.6 AT	2014	- 399 Triệu,Số tự động,,"68,000 Km",Xám,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Ford Everest	Titanium 2.0L 4x4 AT	2022	- 1 Tỷ 359 Triệu,Số tự động,,0 Km,Đen,Dầu	2.0 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	Raptor 2.0L 4x4 AT	2022	- 1 Tỷ 202 Triệu,Số tự động,,0 Km,Xanh,Dầu	2.0 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
Van/Minivan,Xe	Suzuki Super Carry Van	Blind Van	2022	- 263 Triệu,Số tay,,0 Km,Đỏ,Xăng	1.0 L,2 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Van/Minivan,Xe	Suzuki Super Carry Van	Blind Van	2022	- 263 Triệu,Số tay,,0 Km,Cam,Xăng	1.0 L,2 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Bán tải / Pickup,Xe	Ford Ranger	XLS 2.2L 4x2 AT	2022	- 662 Triệu,Số tự động,,0 Km,Trắng,Dầu	2.2 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Volkswagen Passat	1.8TSI	2016	- 839 Triệu,Số tự động,,"63,000 Km",Trắng,Xăng	1.8 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	VinFast Lux SA 2.0	Premium 2.0 AT	2020	- 1 Tỷ 150 Triệu,Số tự động,,"20,000 Km",Đen,Xăng	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Van/Minivan,Xe	Ford Transit	Tiêu chuẩn	2022	- 799 Triệu,Số tay,,0 Km,Ghi,Dầu	2.2 L,16 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	BMW 3 Series	320i	2016	- 920 Triệu,Số tự động,,"68,200 Km",Xanh,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Hatchback,Xe	Suzuki Swift	GL 1.2 AT	2019	- 499 Triệu,Số tự động,,"19,000 Km",Trắng,Xăng	1.2 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Kia Sorento	Signature 2.2 AT AWD	2021	- 1 Tỷ 299 Triệu,Số tự động,,"12,345 Km",Trắng,Dầu	2.2 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz C class	C250	2016	- 999 Triệu,Số tự động,,"70,000 Km",Trắng,Xăng,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Hyundai Kona	2.0 ATH	2019	- 615 Triệu,Số tự động,,"28,000 Km",Xanh,Xăng,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	BMW X7	xDrive40i M Sport	2022	- 5 Tỷ 869 Triệu,Số tự động,,0 Km,Trắng,Xăng	3.0 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Daewoo Lacetti	SE	2010	- 230 Triệu,Số tay,,0 Km,Đen,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mercedes Benz E class	E200	2015	- 879 Triệu,Số tự động,,"69,000 Km",Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Chevrolet Captiva	2008	- 268 Triệu,Số tự động,,"144,682 Km",-,Xăng,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mercedes Benz GLS	450 4Matic	2022	- 5 Tỷ 139 Triệu,Số tự động,,0 Km,Đen,Xăng	3.0 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Crossover,Xe	Mazda cx3	Luxury 1.5 AT	2021	- 689 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.5 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Hyundai Accent	1.4 AT	2020	- 495 Triệu,Số tự động,,"28,000 Km",Đỏ,Xăng	1.4 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Lexus ES	250	2020	- 2 Tỷ 560 Triệu,Số tự động,,"13,000 Km",Trắng,Xăng	2.5 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Toyota Camry	2.5Q	2019	- 1 Tỷ 130 Triệu,Số tự động,,"28,000 Km",Nâu,Xăng	2.5 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mazda 3	S 1.6 AT	2014	- 409 Triệu,Số tự động,,"68,101 Km",Vàng,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Vios	1.5E	2017	- 319 Triệu,Số tay,,"71,000 Km",Cát,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	VinFast Fadil	Tiêu chuẩn 1.4 AT	2022	- 385 Triệu,Số tự động,,"1,000 Km",Trắng,Xăng	1.4 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
