dong_xe,gia,hang,hop_so,kieu_dang,km_da_di,nam_sx,nhien_lieu,so_cho_ngoi,tinh_trang,xuat_xu
Corona,74.000.000,Toyota,Số sàn,Sedan,289569,1993,Xăng,5,Đã sử dụng,Nhật Bản
Sorento,1.230.000.000,Kia,Tự động,SUV / Cross over,3100,2021,Dầu,7,Đã sử dụng,Việt Nam
Cerato,513.000.000,Kia,Tự động,Sedan,39000,2018,Xăng,5,Đã sử dụng,
Explorer,1.786.000.000,Ford,Tự động,SUV / Cross over,300000,2018,Xăng,8,Đã sử dụng,Mỹ
Spark,130.000.000,Chevrolet,Tự động,Hatchback,15088,2008,Xăng,5,Đã sử dụng,
Q3,1.066.000.000,Audi,Tự động,SUV / Cross over,39000,2016,Xăng,5,Đã sử dụng,
Sedona,990.000.000,Kia,Tự động,Minivan (MPV),40000,2019,Dầu,7,Đã sử dụng,Việt Nam
Kona,573.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
Triton,320.000,Mitsubishi,Tự động,Pick-up (bán tải),123,2010,Dầu,5,Đã sử dụng,Thái Lan
TT,780.000.000,Audi,Tự động,Coupe (2 cửa),78000,2007,Xăng,2,Đã sử dụng,Mỹ
Fortuner,495.000.000,Toyota,Tự động,,120000,2007,Xăng,,Đã sử dụng,Nước khác
Lux,826.000.000,Vinfast,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
City,455.000.000,Honda,Tự động,Sedan,76142,2018,Xăng,5,Đã sử dụng,Việt Nam
Lux,681.695.000,Vinfast,Tự động,,,2021,,,Mới,
GX,1.039.000.000,Lexus,Tự động,SUV / Cross over,87000,2007,Xăng,7,Đã sử dụng,Nhật Bản
Lux,881.695.000,Vinfast,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Focus,510.000.000,Ford,Tự động,Sedan,48000,2018,Xăng,5,Đã sử dụng,
6,570.000.000,Mazda,Tự động,Sedan,52000,2016,Xăng,5,Đã sử dụng,Việt Nam
Vios,290.000.000,Toyota,Số sàn,Sedan,120000,2017,Xăng,5,Đã sử dụng,
Sonata,495.000.000,Hyundai,Tự động,Sedan,100000,2012,Xăng,5,Đã sử dụng,Hàn Quốc
Hilux,599.000.000,Toyota,Tự động,Pick-up (bán tải),119000,2017,Dầu,5,Đã sử dụng,Thái Lan
Elantra,115.000.000,Hyundai,Số sàn,Sedan,,2021,Xăng,5,Mới,Việt Nam
Lux,1.026.165.000,Vinfast,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
Vios,495.000.000,Toyota,Tự động,Sedan,32000,2019,Xăng,5,Đã sử dụng,Việt Nam
Q5,818.000.000,Audi,Tự động,SUV / Cross over,63000,2012,Xăng,5,Đã sử dụng,Đức
