id,domain,url,crawled_date,anh_xe,ten,gia_ban,nam_san_xuat,xuat_xu,tinh_trang,dong_xe,so_km_da_di,mau_ngoai_that,mau_noi_that,so_cua,so_cho_ngoi,nhien_lieu,he_thong_nap_nhien_lieu,hop_so,dan_dong,tieu_thu_nhien_lieu,dung_tich_xi_lanh,thong_tin_mo_ta
637d9226-967b-4904-abad-f5228781fb00,bonbanh.com,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2022-4062046,1656843555.482042,https://bonbanh.com/uploads/users/615572/car/4062046/l_1635758562.689.jpg,xe ford ranger xls 2.2l 4x2,632000000.0,2022,trong nước,mới,bán tải / pickup,0 km,xanh,-,4 cửa,5 chỗ,dầu,, tự động,rfd,l/100km,2.2 l,LIÊN HỆ NGAY ĐỂ NHẬN GIÁ RẺ NHẤT THỊ TRƯỜNG !!!!
f060f642-7c27-40f3-9e65-bff348820aad,bonbanh.com,https://bonbanh.com/xe-bmw-3_series-320i-2016-4387597,1656843555.543689,https://bonbanh.com/uploads/users/465614/car/4387597/l_1652773880.544.jpg,xe bmw 3 series 320i,895000000.0,2016,nhập khẩu,cũ,sedan,"20,000 km",đỏ,đen,4 cửa,5 chỗ,xăng,, tự động,rfd,l/100km,2.0 l,"Bmw 320i Sx 2016,đki 2017... Xe đi hơn 2 vạn miles,xe Nhập Khẩu... Bản ful,đèn Led,camera lùi. Động cơ Twintubo... Chế độ istop siêu tiết kiệm..."
cae49de1-2d39-4cf2-a945-793b2fb802be,bonbanh.com,https://bonbanh.com/xe-kia-k3-premium-1.6-at-2022-4370490,1656843555.631061,https://bonbanh.com/uploads/users/51958/car/4370490/l_1651914715.641.jpg,xe kia k3 premium 1.6,672000000.0,2022,trong nước,mới,sedan,0 km,xanh,đen,4 cửa,5 chỗ,xăng,phun xăng trực tiếp, tự động,fwd,l/100km,1.6 l,6 Lý do lựa chọn
78897c4f-16ba-4eaa-bda4-30289808a70e,bonbanh.com,https://bonbanh.com/xe-lexus-es-250-2019-4410470,1656843555.640245,https://bonbanh.com/uploads/users/639307/car/4410470/l_1653968003.286.jpeg,xe lexus es 250,2380000000.0,2019,nhập khẩu,cũ,sedan,"15,000 km",vàng,nâu,4 cửa,5 chỗ,xăng,, tự động,fwd,10 l/100km,2.5 l,"Lexus ES250 2020 siêu lướt không một vết xước - không giọt sơn ngoài, full lịch sử bảo dưỡng hãng."
15a4dca0-e123-4a50-98b9-2fb75e633044,bonbanh.com,https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-at-2022-3439658,1656843555.661385,https://bonbanh.com/uploads/users/41516/car/3439658/l_1601030729.839.jpeg,xe toyota fortuner 2.4g 4x2,1107000000.0,2022,trong nước,mới,suv,0 km,trắng,đen,5 cửa,7 chỗ,dầu,, tự động,rfd,l/100km,2.4 l,"Fortuner, màu trắng"
e519eb0c-8bda-41b0-8fe1-a8bfb4d7c984,bonbanh.com,https://bonbanh.com/xe-mini-cooper-s-5dr-2018-4359545,1656843555.729248,https://bonbanh.com/uploads/users/127392/car/4359545/l_1651313395.217.jpg,xe mini cooper s 5dr,1610000000.0,2018,nhập khẩu,cũ,hatchback,"56,000 km",đỏ,nâu,5 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,2.0 l,Bán Mini cooper màu đỏ nội thất nâu ghế quả trám máy mới xe cực đẹp 
e9064c2c-69f6-4c37-96a1-d0b1e82442a4,bonbanh.com,https://bonbanh.com/xe-bmw-3_series-320i-2008-4404311,1656843555.744511,https://bonbanh.com/uploads/users/617185/car/4404311/l_1653625532.884.jpg,xe bmw 3 series 320i,315000000.0,2008,nhập khẩu,cũ,sedan,"96,000 km",trắng,nâu,4 cửa,5 chỗ,xăng,, tự động,rfd,l/100km,2.0 l,BMW 2008 đky 2009 
8f589b3f-d05f-49d3-a4aa-9dbceaefc537,bonbanh.com,https://bonbanh.com/xe-honda-crv-g-2021-4387891,1656843555.765004,https://bonbanh.com/uploads/users/149725/car/4387891/l_1652781212.554.jpg,xe honda crv g,995000000.0,2021,trong nước,cũ,suv,"10,000 km",đen,đen,5 cửa,7 chỗ,xăng,, tự động,fwd,l/100km,1.5 l,Honda CRV G sensing
9bde46e0-7a82-4951-b329-a94002c363fc,bonbanh.com,https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-mt-2020-4422294,1656843555.801702,https://bonbanh.com/uploads/users/399559/car/4422294/l_1654582925.774.jpg,xe toyota fortuner 2.4g 4x2 mt,1039000000.0,2020,trong nước,cũ,suv,"34,200 km",trắng,nâu,5 cửa,8 chỗ,dầu,phun dầu trực tiếp, tay,rfd,7 l/100km,2.4 l,Toyota An Sương - Xe qua sử dụng chính hãng
11af6d8c-6a78-46bc-9dea-55b91d6acfc1,bonbanh.com,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2015-4368021,1656843555.825165,https://bonbanh.com/uploads/users/572372/car/4368021/l_1651807778.199.jpg,xe toyota fortuner 2.7v 4x2,585000000.0,2015,trong nước,cũ,suv,"96,000 km",xám,kem,5 cửa,7 chỗ,xăng,full xăng điện tử, tự động,rfd,9 l/100km,2.7 l,Em về habgf 7 chỗ của Toyota rất đ pj!
