id,domain,url,crawled_date,anh_xe,ten,gia_ban,hang,nam_san_xuat,tinh_trang,nhien_lieu,kieu_dang,dong_xe,so_km_da_di,hop_so,xuat_xu,so_cho,mo_ta
ae0ba6c0-5a29-4d80-b61b-7bb4aeed3f30,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/96583279.htm,1656843659.851973,https://cdn.chotot.com/rXqFjykmpf7Mc7ox9dMam7mTbiX1Hjn4t9DMaW2ZZfA/preset:view/plain/ecd20f9aca138988510d57ee425180e5-2779720618869529887.jpg,mercedes e200 sx 2017 màu trắng/nâu siêu đẹp,1470000000.0,mercedes benz,2017,cũ,xăng,sedan,e class,45000,tự động,nhập khẩu,5,"- Phú Quý Auto giới thiệu: E200 sx 2017 màu trắng/nâu 
- Xe tư nhân sử dụng biển HN, xe đẹp xuất sắc, lăn bánh hơn 4 vạn km. Xe cam kết ko đâm đụng( keo chỉ zin) - ko ngập nước - ko bổ máy 
- Giá thoả thuận khi giao dịch 
- Hỗ trợ trả góp 70% lãi suất thấp thủ tục đơn giản 
- Chi tiết xin vui lòng liên hệ trực tiếp để biết thêm! 
- Số 8 Phạm Văn Bạch - CG - HN 
- Trân trọng!"
186c07e3-265b-4b9c-a89f-e456fe4eebf8,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-ba-dinh-ha-noi/95512347.htm,1656843659.864527,https://cdn.chotot.com/H_tC0erwOhQ-AzNFzh1M-Ym4dy0WDzd7h2xiOKxhFeY/preset:view/plain/d5dccf7c5b741fedf2e09af9a6201cf1-2777663751251887199.jpg,nissan - bluebird nhập khẩu tự động chính chủ dùng,238000000.0,nissan,2009,cũ,xăng,sedan,bluebird,11000,tự động,nhập khẩu,5,"Bán nissan nhập khẩu bluebird nhập khẩu nhật bản 
Số tự động còn rất mới đẹp nguyên bản như hình chụp cam kết xe rất tốt chạy ổn định tiết kiệm nhiên liệu bán để nâng cấp xe mới mời xem xe tại nhà riêng …."
9546d525-1047-46c4-933f-c0debbf7dcb8,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-buon-ma-thuot-dak-lak/96583283.htm,1656843659.972334,https://cdn.chotot.com/JpJsm4eeICBeolghVr7gSjg20IbBZ1-x_OmmMhuGigw/preset:view/plain/7d799f6a92f2e1d5a3d5fde8ca2778c0-2779720778530724508.jpg,out lander 2019 số tự động,695000000.0,mitsubishi,2019,cũ,xăng,suv / cross over,outlander,71222,tự động,nhập khẩu,7,"Mitsubishi Out Lander đời 2019 số tự động CVT 

Xe 1 chủ mua mới từ đầu tại Đắk Lắk bảo dưỡng full lịch sử hãng . Xe chạy đúng 71 nghìn km . Đã trang bị cốp điện , màn hình androi cam360 

☎️ Anh chị em quan tâm liên hệ trực tiếp và xem xe tại 190 Lê Thánh Tông , Tp Bmt"
6f0ee4ed-de34-4d03-934e-12653c217a59,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-1-tp-ho-chi-minh/96147176.htm,1656843660.004896,https://cdn.chotot.com/Xp-IVBgl7dAHV5FXpvNIJLrc5AemSQDKnSOAZM1BrGw/preset:view/plain/24832ba91006e3f80232b7a1c14d1506-2777788932087732488.jpg,everest tita 2022 giảm tiền mặt 100tr giao ngay,1412000000.0,ford,2022,mới,dầu,suv / cross over,everest,,tự động,nhập khẩu,7,"Hỗ trợ giao xe tận nhà 
Hỗ trợ bao hồ sơ ngân hàng 
Tặng full đồ chơi xe
Hỗ trợ đang ký xe nhanh gọn"
36abca2c-d018-4a7f-9580-942b40b3f5f1,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-11-tp-ho-chi-minh/96291488.htm,1656843660.074402,https://cdn.chotot.com/bSwh381G1J9nj4TyRBlc9-Z1omvP4_keT6xU_cfaBQQ/preset:view/plain/9ea624b4ec4003f401ce3183b5572ed7-2778525463662173389.jpg,bán mitsubishi gramdis 2008 cực mới đồ chơi full,366000000.0,mitsubishi,2008,cũ,xăng,suv / cross over,grandis,99000,tự động,nhập khẩu,7,"Nhà em cần bán Mitsubishi Grandis sx cuối 2008 fulloption tình trạng xe như sau :
- Xe mới bảo dưỡng xong máy móc êm ru
- Xe nhà em bao test hãng không đâm đụng ngập nước không lỗi nhỏ
- Xe mới thay 4 vỏ mới
- Xe em gắn bộ áp suất lốp gắn trong nha hết 3tr500
- Vô bộ đèn Bi led daylight hơn 12 triệu
- Gắn DVD androi hết 12 triệu
- Gắn camera de cảm biến de 6 triệu
- Gắn bộ đèn led viền kiểu audi nội thất 6tr500 sang chảnh xịn sò như xe sang
* Xe hoàn hảo không một lỗi nhỏ
* Tầm tiền hơn 300 kiếm đâu ra xe 7 chỗ fulloption ?
Anh em thiện chí mua em fix tẹt ga nha ! Xem xe khuyến khích test hãng và dẫn vợ theo .
Em không có thời gian mong các bác call không trả lời tin sms hỏi ý kiến vợ trước khi xem xe . Em bán cho anh nào đam mê dòng xe này ít tiền dùng bền không tiếp chim ưng Đại bàng nha ! Em cảm ơn mọi người xem tin"
66007382-9a53-46da-8743-75f5a49411d0,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/96577431.htm,1656843660.10076,https://cdn.chotot.com/hGhlfVeao5tGG8j_HCPSIkWL3Z4aWcme8EiSpYjcuxE/preset:view/plain/c7d7b97b1e4a28232113f18b7185a4a3-2779697896213436550.jpg,"🆘🆘🆘 toyota fortuner 2.4g mt, sx 2019 🆘🆘🆘",970000000.0,toyota,2019,cũ,dầu,suv / cross over,fortuner,42000,số sàn,nhập khẩu,7,"✅ Bán Toyota Fortuner 2.4G MT, Sx 2019, Màu Trắng, Nhập Indo. Xe cá nhân 1 đời chủ sử dụng giữ gìn kỹ, bảo dưỡng hãng đầy đủ, 5 vỏ zin theo xe, sơ cua chưa sử dụng, mới cứng trên 90%, Bao test.

✅ Option: 
+ Ghế trùm simily (còn nĩ zin)
+ Màn hình Andriod
+ Camera lùi.
+ Cảm biến lùi.
+ Lót sàn.
+ Phim cách nhiệt,...

✅ Cam kết.
+ Không cấn đụng.
+ Không ngập nước.
+ Hỗ trợ trả góp qua ngân hàng đến 70% giá trị xe."
766a2514-7eea-433f-9bde-9ecca3c55aca,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-huyen-soc-son-ha-noi/95589146.htm,1656843660.195214,https://cdn.chotot.com/zY3TVG5DnaJomBt6p9qdoBoAuODbvQkz-SBLFDgfNe8/preset:view/plain/3ac5c058586cb37b24c864baf6f8ac98-2775234000500739716.jpg,bán xe glc 300 4matic sx 2017,1700000000.0,mercedes benz,2017,cũ,xăng,suv / cross over,glc,40000,tự động,nhập khẩu,5,"GLC 300  4MATIC 4x4 sx 2017, khẳng định e mới nhì miền bắc , full 2 chìa smarkey, tích hợp vô lăng , gẩy số thể thao, 5 chế độ lái, camera 360 độ , trang bị hệ thống âm thanh cao cấp burmester , ghế da bò cao cấp , cửa sổ trời toàn cảnh , cốp điện , phanh tay điện tử , đèn bi senon , lazang AMG 19inch. 
 “Chẳng có gì là tự nhiên rẻ. Đã rẻ thì không có xe đẹp, đã đẹp thì không có rẻ”
5 TIÊU CHÍ VÀNG Tại VĨNH CƯỜNG AUTO
1.Xe không bị tai nạn.
2.Xe không bị đại tu động cơ và hộp số.
3.Xe không bị thuỷ kích.
4.Xe không bị phạt nguội.
5.Giấy tờ theo xe hợp lệ,đủ điều kiện mua, bán, sang tên.
HOÀN TIỀN NẾU SAI 5 TIÊU CHÍ VÀNG
Hỗ trợ Bank lên tới 75%."
12d62629-f5c3-49f9-8aa9-91236dd0007a,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/96558240.htm,1656843660.204732,https://cdn.chotot.com/wVJQUQAgqbtLP_rvO2v9GPwnt8eKk3o5ITBP3q-1ovo/preset:view/plain/752b0cb64768331cae3283a931efa802-2779576241877853088.jpg,peugeot 3008al đen new sẵn xe giao ngay !!,1129000000.0,peugeot,2022,cũ,xăng,suv / cross over,3008,,tự động,nhập khẩu,5,"▶️ SUMMER EMOTION DRIVING - SUV CHÂU ÂU THẾ HỆ MỚI 

▶️ ƯU ĐÃI KHÔNG THỂ TỐT HƠN TRONG THÁNG 7

➣ New Peugeot 3008Al đen : Giá 1.129.000.000 - Trả trước chỉ từ 210 triệu ➜ Tặng 01 Năm Bảo Hiểm Vật Chất
➣ SẴN XE GIAO NGAY TRONG TUẦN, KHÔNG CẦN CHỜ ĐỢI, KHÔNG SỢ BIA LẠC, NÓI KHÔNG VỚI CÂU CHUYỆN DELAY, CHỈ  1 XE 3008AL ĐEN

Đăng ký xem xe và lái thử trải nghiệm, lái thử tận nhà : TẠI PEUGEOT HỒ CHÍ MINH
Địa chỉ: 75 võ văn kiệt, An Lạc, Bình Tân, HCM"
4acb1917-5e3a-4fa9-a5e4-cc6493eebb59,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-cam-le-da-nang/96233718.htm,1656843660.224824,https://cdn.chotot.com/hoya4fXPYFlJCOHF5VP7CM9H5KPpyRdPKwWHXzV8EDU/preset:view/plain/45eb74f525d54aaac1c42dc8aa38a422-2778118745137600853.jpg,bán honda civic 1.8 at,355000000.0,honda,2011,cũ,xăng,sedan,civic,90000,tự động,nhập khẩu,5,"Bán xe 05 chổ hiệu honda civic .số tự động,fom mới,sản xuất 2011,màu cát vàng,xe một chủ sử dụng từ đầu ,còn rất mới.cam kết xe không va quẹt,không ngập nước, động cơ và hộp số còn rin 100%.rất lợi xăng,gầm máy 7màu,ghế da rin của hảng.bao rút hồ sơ .Qúy khách có nhu cầu vui lòng liên hệ anh Quang để xem xe."
e4e2d9f1-72f5-40fe-a9d7-33f52e2bf0ad,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thi-xa-ben-cat-binh-duong/96434708.htm,1656843663.645505,https://cdn.chotot.com/vYv6yP2-8mutXVyolkQneNUOco1AOoAd6O1eNZFWFRw/preset:view/plain/78c38edf247130735c5c76187dc5a738-2779037900200214484.jpg,bán,15900000.0,kia,2005,cũ,dầu,kiểu dáng khác,k3,123456,số sàn,nhập khẩu,5,"Xe GĐ đang chạy, chia lại cho anh em khởi nghiệp, máy móc êm, khỏe, côn số, vô lăng nhẹ nhàng, bao thợ thầy, ae ai cần mình xem xe trực tiếp"
